département;vitesse max autorisée;autre véhicule;indéterminable;indéterminé;vehicules deux roues;vehicules leger;vehicules lourd;gravité indéterminé;indemne;tué;blessé hospitalisé;blessé léger;autre;hommes;femmes;jeune;adulte;senior;conducteur;passager;piéton;clustering kmeans
La Réunion;56.08112528622833;0.019627085377821395;0.005888125613346418;0.0;0.5466143277723258;0.9872423945044161;0.13869807000327117;0.00032711808963035657;1.0104677788681715;0.05528295714753026;0.35557736342819757;0.8590121033693163;0.015374550212626759;1.578999018645731;0.6862937520444881;0.2937520444880602;1.6830225711481845;0.28132155708210665;1.6787700359829898;0.39515865227347075;0.20673863264638534;1
Landes;65.30211480362537;0.0075528700906344415;0.006042296072507553;0.0015105740181268882;0.4350453172205438;0.9350453172205438;0.2175226586102719;0.0;0.8111782477341389;0.1646525679758308;0.7643504531722054;0.40634441087613293;0.012084592145015106;1.4290030211480362;0.7054380664652568;0.30362537764350456;1.336858006042296;0.49395770392749244;1.593655589123867;0.4335347432024169;0.11933534743202417;0
Loir-et-Cher;68.00364520048603;0.007290400972053463;0.0036452004860267314;0.0;0.34750911300121506;1.0765492102065615;0.212636695018226;0.002430133657351154;0.9064398541919806;0.11907654921020656;0.6002430133657352;0.7132442284325637;0.00850546780072904;1.551640340218712;0.7812879708383961;0.30741190765492105;1.600243013365735;0.42162818955042525;1.637910085054678;0.5990279465370595;0.10449574726609964;1
Loire;62.873055382700684;0.010578718108276292;0.005600497822028625;0.0;0.37523335407591785;1.0952084629744867;0.17112632233976355;0.0012445550715619166;0.8494088363410081;0.07591785936527691;0.5196017423771002;0.8288736776602365;0.014934660858743;1.5606720597386434;0.6994399502177971;0.31736154324828875;1.4884878655880522;0.4517734909769757;1.641568139390168;0.4399502177971375;0.19352831362787803;1
Loire-Atlantique;58.681463414634145;0.007317073170731708;0.004390243902439025;0.0;0.4697560975609756;1.0082926829268293;0.18097560975609756;0.000975609756097561;0.8795121951219512;0.12;0.5648780487804878;0.6331707317073171;0.02048780487804878;1.4951219512195122;0.6829268292682927;0.25609756097560976;1.5560975609756098;0.36146341463414633;1.6424390243902438;0.35365853658536583;0.20243902439024392;1
Loiret;58.92750642673522;0.0035989717223650387;0.005141388174807198;0.0;0.3922879177377892;1.0817480719794343;0.19023136246786632;0.0010282776349614395;0.9424164524421594;0.06940874035989718;0.3557840616966581;0.9141388174807198;0.021079691516709513;1.4796915167095115;0.7820051413881748;0.3197943444730077;1.5861182519280206;0.3511568123393316;1.6473007712082262;0.4863753213367609;0.14910025706940874;1
Lot;69.16076294277929;0.005449591280653951;0.0027247956403269754;0.0;0.444141689373297;0.8256130790190735;0.1771117166212534;0.0;0.776566757493188;0.1362397820163488;0.7193460490463215;0.35149863760217986;0.013623978201634877;1.3514986376021798;0.6185286103542235;0.2098092643051771;1.223433242506812;0.5367847411444142;1.449591280653951;0.4196185286103542;0.11444141689373297;0
Lot-et-Garonne;63.02139037433155;0.004010695187165776;0.0;0.0;0.37967914438502676;1.085561497326203;0.1711229946524064;0.001336898395721925;0.8275401069518716;0.13368983957219252;0.6885026737967914;0.6203208556149733;0.014705882352941176;1.4986631016042782;0.7580213903743316;0.3114973262032086;1.482620320855615;0.4585561497326203;1.6336898395721926;0.49331550802139035;0.1443850267379679;0
Lozère;72.8476821192053;0.0033112582781456954;0.0;0.0;0.38741721854304634;0.7649006622516556;0.1423841059602649;0.0;0.6026490066225165;0.076158940397351;0.652317880794702;0.6192052980132451;0.0033112582781456954;1.3509933774834437;0.5960264900662252;0.2847682119205298;1.1887417218543046;0.47019867549668876;1.2880794701986755;0.5132450331125827;0.1490066225165563;0
Maine-et-Loire;57.92379182156134;0.003345724907063197;0.0055762081784386614;0.0;0.4821561338289963;1.0211895910780668;0.12639405204460966;0.0;0.8055762081784387;0.045724907063197026;0.3587360594795539;0.8494423791821561;0.017100371747211896;1.3144981412639405;0.7278810408921933;0.29739776951672864;1.4193308550185875;0.3226765799256506;1.620817843866171;0.30408921933085503;0.13457249070631971;1
Manche;61.49564676616915;0.0018656716417910447;0.006840796019900498;0.0006218905472636816;0.40671641791044777;1.078358208955224;0.14614427860696516;0.0018656716417910447;0.9353233830845771;0.07524875621890548;0.44092039800995025;0.7835820895522388;0.008706467661691543;1.4129353233830846;0.8152985074626866;0.32027363184079605;1.4241293532338308;0.48134328358208955;1.6305970149253732;0.44838308457711445;0.15796019900497513;1
Marne;58.33166583291646;0.004502251125562781;0.006003001500750375;0.0;0.3386693346673337;1.103551775887944;0.21460730365182593;0.0010005002501250625;1.0;0.06353176588294147;0.31115557778889447;0.9054527263631816;0.021010505252626314;1.4777388694347173;0.7823911955977989;0.29164582291145574;1.6153076538269135;0.3461730865432716;1.6518259129564783;0.44022011005502754;0.1890945472736368;1
Martinique;58.57056145675266;0.008093070308548306;0.024785027819929185;0.0005058168942842691;0.4157814871016692;1.1765300961052099;0.13707637835103692;0.008093070308548306;0.9676277187658068;0.05665149215983814;0.37228123419322207;0.9802731411229135;0.03743045017703591;1.554375316135559;0.7931208902377339;0.21648963075366717;1.7678300455235205;0.35761254425897826;1.7298937784522004;0.5042994436014163;0.1507334344967122;2
Mayenne;70.32871287128712;0.0039603960396039604;0.0019801980198019802;0.0;0.41188118811881186;0.8792079207920792;0.24554455445544554;0.0019801980198019802;0.8396039603960396;0.1188118811881188;0.7940594059405941;0.33861386138613864;0.011881188118811881;1.4237623762376237;0.6574257425742575;0.3207920792079208;1.293069306930693;0.4633663366336634;1.5346534653465347;0.44356435643564357;0.11485148514851486;0
Mayotte;49.93283582089552;0.004975124378109453;0.009950248756218905;0.0;0.7624378109452736;0.7077114427860697;0.09328358208955224;0.0024875621890547263;0.8942786069651741;0.06467661691542288;0.24004975124378108;1.0597014925373134;0.041044776119402986;1.7350746268656716;0.48507462686567165;0.3644278606965174;1.7661691542288558;0.08582089552238806;1.5335820895522387;0.4129353233830846;0.31467661691542287;2
